"embNo","orSD","orClust","orMeanPwr"
139,0.0313809258618393,1,0.00237407200466599
255,0.031037937648987,1,0.00242048925282688
321,0.0367649011916442,1,0.00256636085199976
330,0.0396193065659299,1,0.0025995726237871
143,0.0293569931557869,1,0.00269202587263689
124,0.0330154499365181,1,0.0028422682643125
215,0.0324872959666454,1,0.00291621653168715
325,0.0385632140366102,1,0.0029866716029296
73,0.0312752290977312,1,0.00321773160440822
277,0.0306915718654619,1,0.003402499854751
317,0.0429554224666765,1,0.00404653614216414
251,0.0436627322150101,1,0.00452406843043133
79,0.0367656151307051,2,0.00145033691438831
122,0.0269525579502416,2,0.00156003385042934
113,0.0379224443206566,2,0.00156998329382926
246,0.0339720128312676,2,0.00157771357098869
53,0.0283533041403909,2,0.0016129897708709
266,0.0351349740768838,2,0.00163020240178415
279,0.0325645271493663,2,0.00167918531906504
126,0.0330421492943937,2,0.00171146229521152
44,0.0241387540134626,2,0.00176418942059005
56,0.0305158163765652,2,0.00186869057497378
60,0.0359650711684587,2,0.00191652418929512
89,0.0425644818098035,2,0.00194960598641608
61,0.0411232257639749,2,0.0021014850208583
302,0.0373261246825318,2,0.00210203295685756
32,0.0336175348825476,2,0.00210766103654996
258,0.0358033008730339,2,0.00221023856340001
104,0.036218519341637,2,0.00222627593481059
220,0.0334576387533217,2,0.00222792041387506
11,0.0341138695637767,2,0.00224438401045889
22,0.0313949408929744,2,0.00228550817356876
36,0.0400335029726604,2,0.00242558258042158
106,0.0489290723832405,2,0.00283594275634371
20,0.054042577383538,2,0.00309571462019371
286,0.0416678081753391,3,0.00160454296482946
272,0.0494527672196841,3,0.0016982554449629
191,0.0431382700705229,3,0.00195630414614865
201,0.0496401230024071,3,0.00211110103903892
43,0.0359425050442097,3,0.00226031578591031
70,0.0481579135581592,3,0.00227630681737614
378,0.0368854473001029,3,0.00251022466714877
283,0.0412445328193417,3,0.00257432813042583
359,0.0423629024745867,3,0.00264908592215622
242,0.0356217353572763,3,0.00267538766593602
147,0.0430851246247998,3,0.00325863901807631
96,0.0335026696303965,4,0.000971952595264693
109,0.0309469746957068,4,0.000986491602817495
148,0.031111386030001,4,0.00100432705997744
112,0.0373160277865594,4,0.00107791916660481
151,0.0271972646597494,4,0.00108211857226222
303,0.029157961582883,4,0.00110617708867049
357,0.0333787211199803,4,0.00111324055093678
181,0.0400895911561535,4,0.00114905386695683
304,0.0307211525007297,4,0.0011617727492492
182,0.0367239985803577,4,0.00117101013534466
295,0.0424789961705188,4,0.00123049829121551
298,0.0337380162087034,4,0.00125584957483157
278,0.034933145185004,4,0.00126470004201691
188,0.0308621516086041,4,0.0012755767264356
105,0.0312263410433363,4,0.00127696931095619
26,0.0357634955618366,4,0.0012816246724969
90,0.0284191744365351,4,0.00132158626832358
92,0.0399673119617278,4,0.00134162590948035
199,0.0353587294477797,4,0.00142814997229869
166,0.0291086072701469,4,0.00144228059779212
149,0.0371971453342449,4,0.00147790342557663
7,0.0433921875095809,4,0.00149595064656221
308,0.0256462630613828,4,0.00150117714831669
345,0.0397648376864848,4,0.00151564967166777
233,0.0370228971053489,4,0.001536674329914
140,0.0253400300991717,4,0.00153688511305366
34,0.0307213900130754,4,0.00155034471189108
47,0.0294939679182791,4,0.00155324693266112
30,0.0349577019947225,4,0.00157438393167019
209,0.0398411463447476,4,0.00158520395082019
232,0.0373845189618846,4,0.00160765325193736
204,0.0298515951233015,4,0.00168571096435225
309,0.0420108204541397,4,0.00170796829536449
99,0.0346133175183005,4,0.00172770808551223
135,0.0350692316023515,4,0.00174100345666773
372,0.0395934080154349,4,0.00174519686503044
8,0.0330464191494178,4,0.00176128180277021
333,0.034771810771652,4,0.00177763541504346
132,0.0482355387860358,4,0.00188916908720526
315,0.0392557549921177,4,0.00190210065129033
186,0.039134592654484,4,0.00195675923520525
280,0.0497644140096946,4,0.00208750408995366
236,0.0382297524444443,4,0.0021182335742023
146,0.0379384802264473,4,0.00267125884299723
271,0.0491502411497768,5,0.0035383277526537
228,0.0421826431950697,5,0.00427579101476552
353,0.0418415160246374,5,0.00444689845009738
207,0.0488709929265214,5,0.00510850240208659
117,0.0526659724367074,5,0.00606125114772455
364,0.0256069483067914,6,0.000731517716692179
81,0.0335754390420858,6,0.000816197352002303
257,0.0304900990030645,6,0.000820329377793184
371,0.0307129402175177,6,0.000912279470190819
164,0.0360365099498568,6,0.000955534808452103
377,0.0353935752637792,6,0.00102184632384594
144,0.0415613782267248,6,0.00107704434938837
115,0.0364194341021455,6,0.00110581451948529
59,0.0418509679166785,6,0.00112229713149982
19,0.0476349962820474,6,0.00115481687756583
367,0.0455973504320521,6,0.00120734032178574
316,0.0341639666250606,6,0.00125197347066272
1,0.0379833355330776,6,0.00126060462714181
380,0.0347781154818652,6,0.00130873100838474
156,0.0358473570419482,6,0.00131239797724333
332,0.0378894662667908,6,0.00134699514458174
241,0.0376514728522542,6,0.00153019695212733
189,0.0386752529794719,6,0.00159797430532581
165,0.0414156799758699,6,0.00166613536590096
243,0.0422523512897379,6,0.00167877113101854
213,0.0405369131325624,6,0.00188346472766096
256,0.0326104655310053,7,0.00212697434794823
10,0.0359158040752377,7,0.00215295904035726
329,0.0390820255161437,7,0.00219523076492648
292,0.0369359168220162,7,0.00224963191452219
249,0.0376439782867674,7,0.0022654674311092
331,0.0262183092774283,7,0.00238317185130356
142,0.031834888287909,7,0.00241476391946646
368,0.0360550646031009,7,0.00244103145154562
235,0.0399009525430419,7,0.00246361651400686
270,0.0435371531412909,7,0.00257179948361733
261,0.0424760889133105,7,0.00262823929148836
327,0.0440749458528704,7,0.00273061549089049
27,0.0426210371988773,7,0.00280719479451044
252,0.0328478788142568,7,0.00283422041796633
318,0.0351413927321515,7,0.00292032949800664
293,0.0455988487408677,7,0.00293007607606922
348,0.0400457302092293,7,0.00295124074012792
153,0.0391435238936761,7,0.00322191381797172
12,0.0395748185768514,7,0.00346874373771639
247,0.0393482245430578,8,0.00268258664906567
55,0.0377606325932457,8,0.00281170779098041
177,0.046617941468842,8,0.00304189506330959
198,0.0399155543419296,8,0.00318612790143957
88,0.0462262751778269,8,0.00337610736209969
75,0.043351220200094,8,0.00353701381324172
197,0.0447926732680938,8,0.00363230219266671
223,0.0520407137018581,8,0.00366468524595678
340,0.0477467822769111,8,0.00393242999999095
374,0.057813312395017,8,0.00422101149622811
159,0.0490798558131421,8,0.00492707363043377
128,0.00000000000000000000000000000000174498630644425,9,0
224,0.0000000000000000000000000000000016085703976898,9,0
320,0.0000000069861480619111,9,0.000000000000000130330607186124
158,0.0165087419331068,9,0.000128116221985696
326,0.0323523802295252,9,0.000200202368808434
107,0.0276649407784846,9,0.000256134331778729
263,0.026809788178723,9,0.000258181709045582
24,0.0256033345841598,9,0.000269695552620806
31,0.0296422825410825,9,0.000286157639326852
314,0.0316410206604201,9,0.000294493645521941
48,0.0338831197644064,9,0.00031066133897287
250,0.0259242090394014,9,0.000314195161587146
23,0.0282403003797887,9,0.000321071807055495
78,0.0291404374725829,9,0.000337857505285203
284,0.0301540718533427,9,0.000338061811975151
41,0.0287799836052042,9,0.000339455027633859
245,0.0301161059185263,9,0.000347385004083773
178,0.0292682421133274,9,0.000349351054235233
381,0.029337391546734,9,0.00036631102987995
322,0.0308945839081055,9,0.000388732792454814
45,0.026392971738586,9,0.000391076458566805
133,0.0360429578881239,9,0.000399702551146328
269,0.0243727860473154,9,0.000405521292633518
217,0.0307340736456925,9,0.000408382657558686
77,0.0252906915125662,9,0.000409157708708294
369,0.0264082356673925,9,0.000409317693203148
28,0.0237050266029753,9,0.000410064602342707
274,0.0268729030475926,9,0.00041111642961371
363,0.0279603165455881,9,0.000414534945843278
351,0.0326956176901288,9,0.000419152979556009
339,0.0336867106428595,9,0.000450574405946351
69,0.0372376475222119,9,0.0004535550938618
39,0.0349754787178205,9,0.00045402567438713
285,0.032851402129127,9,0.000465507770558274
355,0.0295685643492192,9,0.000476134275700601
254,0.0231090443388696,9,0.000478448456277468
58,0.030074334478687,9,0.000490870102759635
171,0.0268024564699056,9,0.000492788456506888
100,0.0350674279845013,9,0.000495709637789799
82,0.0314631445740397,9,0.000496756206970967
299,0.043718666962322,9,0.000503876571014505
267,0.0383572510990537,9,0.000505809263966152
195,0.0329403251875434,9,0.000509544307777284
160,0.0352441097461342,9,0.000509648246073837
121,0.034084321005303,9,0.000520025815861811
176,0.0241429028838539,9,0.000524868051184023
83,0.0301700003833789,9,0.000525969541614574
170,0.0250057660342293,9,0.00053702258932262
347,0.0346303860452379,9,0.000544494430547182
4,0.0291104543248734,9,0.000547910161648483
265,0.0274924953606306,9,0.000549552830888855
131,0.0295862588411291,9,0.00055245883964958
169,0.0324411155158926,9,0.000557814535589037
361,0.0272597688210477,9,0.00056825306856419
206,0.0318474011787049,9,0.000574224935960176
376,0.0285881732075184,9,0.000576323709717021
184,0.0293587191251811,9,0.000581979541581196
202,0.0257095122421567,9,0.000584444143404536
125,0.0325144666285324,9,0.000593507634899271
157,0.0380283281067778,9,0.000598694595554126
296,0.0316711598360736,9,0.000601300227173466
74,0.0284028033687792,9,0.000601879709579232
114,0.0325704182536541,9,0.000602296605668097
225,0.0362512480769932,9,0.000604411104346702
180,0.0258022322292971,9,0.000608065506720188
312,0.0400684073066483,9,0.000613385800923967
221,0.0366878960580266,9,0.000618538368622106
137,0.0292284836600856,9,0.000619427348978653
264,0.0311707108346488,9,0.00061963429813208
63,0.0272580450743929,9,0.000624240238725349
37,0.0306786921319967,9,0.000627928325473854
370,0.0344027784788982,9,0.00062849582367672
54,0.0396807258056553,9,0.000629763442021167
130,0.0374944482178834,9,0.000640021476215204
102,0.0355419774502878,9,0.000644390089093183
290,0.0357487263758182,9,0.000648219236848574
111,0.0264312601797404,9,0.000649557737700536
352,0.0260506253495621,9,0.0006651643594836
145,0.0449144313410699,9,0.000665326399348701
379,0.0405564405846938,9,0.000668584054433912
66,0.0340031199849424,9,0.0006686052698995
218,0.0369796928775614,9,0.000673882804032875
222,0.0346645220558716,9,0.000675136785614968
87,0.0300229388335076,9,0.000675721607422862
260,0.032499307416201,9,0.000679090900158255
